"rn" "Year" "N" "truePsi_1visit" "truePsi_MaxVisits" "truePsi_Asymptotic" "truePsi_Pixel"
1 0 48 0.388949374213317 0.909622260606408 1 0.992633920431754
1 1 45 0.359874642279685 0.880918757841116 1 0.988270186826144
1 2 42 0.332793337799589 0.846216714406892 1 0.987224835600287
1 3 39 0.308766874776384 0.806578523004915 1 0.97708735975884
1 4 37 0.305257224622324 0.802304260512628 1 0.97708735975884
1 5 35 0.289139493686 0.782993915634794 1 0.964142021903755
1 6 32 0.269080291786972 0.739251182050966 0.983606557377049 0.883455493563797
1 7 30 0.2552931355514 0.712186469258535 0.983606557377049 0.813234632729218
1 8 28 0.235990490368133 0.670007073521702 0.983606557377049 0.793433735672003
1 9 26 0.210792359247893 0.616833611220822 0.983606557377049 0.790480010696617
2 0 48 0.383477199178439 0.911248175049357 1 0.991284688035591
2 1 45 0.359723972357039 0.886203862401902 1 0.966694623734335
2 2 42 0.337868356218511 0.849683912509049 1 0.959814754038581
2 3 39 0.310401560366197 0.81463666050134 1 0.948279424813721
2 4 36 0.300340909829018 0.794931800383863 1 0.925135834883127
2 5 34 0.286239437716753 0.777415447413142 1 0.925135834883127
2 6 31 0.265614868808282 0.748460899377572 0.967213114754098 0.875275012459128
2 7 29 0.252187265179489 0.731677469897929 0.967213114754098 0.847585360220739
2 8 27 0.228085652774452 0.677332732485779 0.967213114754098 0.830397841228166
2 9 26 0.216161676169008 0.648583920149932 0.967213114754098 0.816881206772904
3 0 47 0.374330430357514 0.903752584457611 1 0.970693699935577
3 1 44 0.353754761187546 0.883074102576623 1 0.951220994542294
3 2 41 0.338105821149185 0.86910029969245 1 0.938299967180834
3 3 38 0.321151394794753 0.839149650739213 1 0.901262930143797
3 4 36 0.305022728102663 0.809712545328622 1 0.883443338316985
3 5 34 0.292125322967303 0.79477312790786 1 0.883443338316985
3 6 31 0.273009573059858 0.752561364437641 0.983606557377049 0.776416390134802
3 7 29 0.261673451455754 0.726808655601478 0.967213114754098 0.70591595862354
3 8 27 0.243123186616073 0.69377260634237 0.967213114754098 0.659798952217725
3 9 25 0.229054015042321 0.662654059132959 0.950819672131147 0.595145194423173
4 0 48 0.379892834418654 0.900595420145488 1 0.987006041157666
4 1 45 0.355283318060484 0.873396765676551 1 0.963643656784451
4 2 42 0.343606971140391 0.859729183510616 1 0.933133987285612
4 3 39 0.317444084662581 0.798784359845298 0.983606557377049 0.895902466299578
4 4 37 0.305964757525626 0.775026659904402 0.967213114754098 0.882057640180384
4 5 34 0.283373210259244 0.752230149217376 0.967213114754098 0.844279133087797
4 6 32 0.26823639950972 0.730051597125919 0.967213114754098 0.815276714193682
4 7 30 0.251547433617257 0.685435302502984 0.967213114754098 0.794466931651047
4 8 28 0.230993881861903 0.625174104285534 0.918032786885246 0.692812602559895
4 9 26 0.218848660111431 0.595780061152712 0.885245901639344 0.670009359540045
5 0 46 0.367575402490586 0.895274612514711 1 0.979688582576669
5 1 43 0.353306226107386 0.876376198091125 1 0.975008812553939
5 2 40 0.34151820169862 0.86772341366889 1 0.939442560381189
5 3 38 0.321015026562208 0.843824240958204 1 0.923263926874035
5 4 35 0.293666042927267 0.807273228798715 1 0.921999781205557
5 5 32 0.273496960825498 0.768289399192191 1 0.892110029294145
5 6 29 0.253499829449276 0.721982859613839 1 0.828671796180821
5 7 27 0.230201411966464 0.659692960418537 1 0.792376229199334
5 8 26 0.219897249465852 0.631625400595962 0.983606557377049 0.780087274672112
5 9 24 0.207377157336146 0.612699317116118 0.983606557377049 0.777194325930788
6 0 47 0.40154488353001 0.923165424588464 1 0.987066817391727
6 1 44 0.380972627866923 0.903181501047575 1 0.982034545211441
6 2 41 0.359758187999872 0.88177322608045 1 0.975349159464683
6 3 38 0.336321094116699 0.848048927057467 1 0.959960617000328
6 4 36 0.316287186909054 0.823473548448955 1 0.959960617000328
6 5 34 0.298531387725246 0.806400712733624 1 0.959960617000328
6 6 32 0.283594370186187 0.786378378249744 1 0.959960617000328
6 7 30 0.268100822328993 0.756293980031981 1 0.933705283885789
6 8 28 0.259581065706044 0.739319159563043 1 0.904666399251237
6 9 26 0.249390417519571 0.727353365286484 1 0.904666399251237
7 0 48 0.367712525439014 0.893571306104088 1 0.992524523210444
7 1 44 0.334729448219615 0.845002532091829 1 0.979530564368109
7 2 41 0.312597604740173 0.822878199968833 1 0.979530564368109
7 3 38 0.286351629604793 0.786698444444583 1 0.939004971495946
7 4 35 0.266592352801696 0.758142931700417 1 0.929450947501489
7 5 33 0.250349989493184 0.730166548214385 1 0.867592896473763
7 6 31 0.231348259517403 0.681522635884515 0.967213114754098 0.776501476862488
7 7 29 0.215503954995182 0.620720439894828 0.950819672131147 0.705113712333929
7 8 27 0.20803065516508 0.618205979594954 0.950819672131147 0.705113712333929
7 9 25 0.196599156753847 0.596711052798538 0.950819672131147 0.690515260912373
8 0 47 0.381753939676915 0.910708582801855 1 0.991406240503713
8 1 44 0.357677548049468 0.8815304495542 1 0.990798478163099
8 2 41 0.33926625895118 0.862322134689368 1 0.962160716673352
8 3 38 0.308899555379032 0.816831345008317 1 0.945046129161653
8 4 35 0.284579441010925 0.745295509518553 0.950819672131147 0.873451725437285
8 5 33 0.272243896536129 0.732582187432704 0.950819672131147 0.869306786274295
8 6 31 0.261938030762179 0.72124994764251 0.950819672131147 0.840231435899306
8 7 29 0.250151291490303 0.694099118399432 0.950819672131147 0.840036951950309
8 8 27 0.240107470150982 0.680454440785234 0.950819672131147 0.832111731028699
8 9 25 0.219039858132073 0.625032761310574 0.950819672131147 0.789920869343252
9 0 47 0.357596374414304 0.884528088549771 1 0.991770897908082
9 1 43 0.326083363448714 0.839396338995 1 0.962403821609598
9 2 40 0.300437777319994 0.797609244571573 1 0.931031129587086
9 3 37 0.29007958752688 0.788399581617583 1 0.919957699741093
9 4 34 0.259693083420007 0.742010079141891 1 0.914159647011633
9 5 31 0.243417790512687 0.717359212631838 1 0.904751485978923
9 6 29 0.217579747104397 0.639024933325086 0.950819672131147 0.864529774277067
9 7 27 0.200131478865151 0.61630699565197 0.950819672131147 0.864529774277067
9 8 25 0.186393188031841 0.591558806642316 0.950819672131147 0.850466153715251
9 9 24 0.178981684780764 0.580631307111726 0.950819672131147 0.850466153715251
10 0 46 0.351995276705094 0.874146520660168 1 0.974145790030267
10 1 42 0.335605285484953 0.858031684428545 1 0.960787173783564
10 2 39 0.325051190430444 0.845427746908213 1 0.93009517558254
10 3 36 0.318782313562292 0.836644499047882 1 0.927518263258335
10 4 34 0.305209082366253 0.818687443769026 1 0.927518263258335
10 5 32 0.281278964411374 0.779709862108884 1 0.927518263258335
10 6 29 0.256588901281109 0.750758940652993 1 0.927518263258335
10 7 27 0.244043332044633 0.725993334992015 1 0.921246155903196
10 8 25 0.227790697907652 0.702686754818828 1 0.921246155903196
10 9 23 0.224434117005577 0.690777997713458 1 0.876770107817039
