"Yr1.p" "Yr1.ch" "Yr2.p" "Yr2.ch" "Yr3.p" "Yr3.ch" "Yr4.p" "Yr4.ch" "Yr5.p" "Yr5.ch" "Yr6.p" "Yr6.ch" "Yr7.p" "Yr7.ch" "Yr8.p" "Yr8.ch" "Yr9.p" "Yr9.ch" "Yr10.p" "Yr10.ch"
0.437 "100011" 0.437 "111000" 0.437 "101011" 0.164 "001000" 0.164 "000000" 0.164 "010000" 0.164 "010000" 0.164 "000100" 0.113 "000000" 0.113 "000000"
0.568 "011111" 0.568 "011100" 0.568 "011000" 0.508 "001101" 0.508 "010101" 0.508 "101110" 0.508 "100001" 0.508 "000001" 0.495 "000010" 0.495 "110000"
0.53 "111010" 0.53 "111111" 0.53 "111011" 0.53 "010011" 0.53 "111100" 0.53 "101101" 0.53 "100101" 0.53 "000101" 0.525 "000001" 0.525 "010100"
0.336 "010100" 0.336 "000000" 0.336 "100110" 0.336 "001000" 0.326 "001100" 0.326 "010110" 0.326 "001010" 0.326 "000000" 0.283 "001000" 0.283 "101101"
0.463 "110000" 0.332 "000011" 0.332 "000100" 0.332 "101010" 0.242 "001011" 0.242 "010110" 0.242 "001001" 0.242 "000010" 0.119 "000000" 0.119 "010100"
0.278 "101001" 0.158 "000000" 0.158 "000000" 0.135 "000010" 0.134 "000000" 0.134 "101010" 0.134 "000010" 0.134 "101000" 0.014 "000000" 0.014 "000000"
0.441 "011100" 0.441 "110000" 0.441 "001000" 0.219 "000000" 0.219 "000000" 0.219 "000000" 0.219 "100000" 0.219 "010101" 0.093 "000000" 0.093 "000000"
0.312 "001100" 0.312 "111100" 0.312 "101100" 0.253 "010100" 0.253 "000001" 0.253 "000000" 0.253 "000101" 0.253 "000000" 0.164 "001000" 0.164 "000000"
0.241 "010000" 0.241 "100011" 0.241 "101010" 0.238 "100100" 0.238 "100010" 0.238 "101100" 0.238 "011001" 0.238 "010000" 0.192 "101001" 0.192 "100010"
0.476 "100001" 0.476 "111110" 0.476 "101110" 0.46 "110001" 0.46 "000001" 0.46 "101010" 0.46 "011100" 0.46 "110000" 0.45 "011110" 0.45 "000001"
0.354 "001010" 0.354 "010000" 0.354 "001001" 0.329 "111110" 0.329 "100111" 0.329 "010001" 0.329 "111101" 0.329 "001001" 0.329 "010100" 0.329 "000100"
0.51 "110000" 0.51 "000011" 0.51 "100000" 0.505 "000000" 0.505 "001011" 0.505 "110011" 0.505 "101111" 0.505 "100010" 0.505 "101001" 0.505 "011000"
0.508 "111111" 0.304 "010100" 0.304 "101000" 0.304 "001100" 0.304 "101100" 0.304 "011011" 0.304 "001100" 0.304 "000100" 0.219 "000010" 0.219 "000000"
0.38 "010101" 0.184 "100000" 0.184 "000011" 0.184 "000001" 0.184 "000000" 0.184 "001101" 0.184 "000000" 0.184 "000000" 0.072 "001001" 0.072 "000100"
0.157 "001101" 0.157 "000100" 0.157 "000001" 0.093 "000001" 0.093 "001000" 0.093 "000000" 0.093 "000000" 0.093 "000000" 0.06 "000000" 0.06 "000000"
